Username,User ID,Category
nissan,306210649,auto
nissanusa,321923903,auto
comcastca,307199058,technology
walgreens,7602583,retailer
target,209372398,retailer
targetstyle,8914847,retailer
deloitte,2866331,financial services
foxnews,188154866,entertainment
foxtv,12716582,entertainment
foxsports,184629764,entertainment
lorealparisofficial,1323766664,health & beauty
subway,1460829497,QSR
3m,306319359,technology
nbcnews,1269598,entertainment
nbcagt,255788740,entertainment
nbctv,42817733,entertainment
nbcchicagofire,54082565,entertainment
nbcicandothat,1684524955,entertainment
nbcdays,371263999,entertainment
nbcnewyork,19009288,entertainment
nbcchicagopd,359846124,entertainment
nbcla,26628101,entertainment
nbcchicagomed,1287080154,entertainment
nbc6,26725609,entertainment
nbcsports,55790721,entertainment
nbcsandiego,26840405,entertainment
nbcchicago,19177320,entertainment
nbcsvu,255758563,entertainment
datelinenbc,14771266,entertainment
abcfamily,327054692,entertainment
abcnews,327693598,entertainment
abcnetwork,295078956,entertainment
abctheview,320728563,entertainment
abc7la,317111047,entertainment
abc30_actionnews,332864021,entertainment
abc7chicago,326513240,entertainment
abc7ny,52491273,entertainment
abc7newsbayarea,490732556,entertainment
abccastle,322763313,entertainment
abcthechew,192948241,entertainment
cbs_bigbrother,424570477,entertainment
cbsnews,3048245,entertainment
cbssports,185336999,entertainment
cbstv,2440497,entertainment
cbsthismorning,18099218,entertainment
crimmindscbs,1458043509,entertainment
cbssundaymorning,2138185630,entertainment
officialsurvivor_cbs,1501333655,entertainment
cbseveningnews,480609945,entertainment
bigbangtheory_cbs,1532488534,entertainment
cbstvstudios,231384486,entertainment
ncis_cbs,225239591,entertainment
starbucks,1034466,QSR
accenture,261086405,consulting services
tescofood,457834082,retailer
costco,1286044267,retailer
directv,173776491,technology
directvsports,440593713,technology
capitalone,578045120,financial services
panasonicusa,196450677,technology
toshibausa,15719939,technology
visa_us,401435476,financial services
philips,210692074,technology
sony,181491598,technology
sonypictures,179147980,entertainment
sonyanimation,20167137,entertainment
renault_live,21398179,auto
dell,267619722,technology
macys,13806065,fashion & apparel
paypal,211382765,financial services
warnerbrosentertainment,194042169,entertainment
wbpictures,181800403,entertainment
chevrolet,3667322,auto
espn,1320207,entertainment
espnmikeandmike,430992202,entertainment
espnw,18473521,entertainment
espnmondaynight,1971876158,entertainment
mastercard,7889082,financial services
plentirewards,1330611889,financial services
sprint,440776205,technology
adidashoops,29180689,fashion & apparel
adidasfootball,640806256,fashion & apparel
adidasuk,353727415,fashion & apparel
adidaswomen,39486634,fashion & apparel
adidasskateboarding,212466683,fashion & apparel
adidasrunning,536176622,fashion & apparel
nikewomen,376999500,fashion & apparel
nikesportwear,320419141,fashion & apparel
nikebasketball,306787899,fashion & apparel
nikerunning,286654768,fashion & apparel
nikelab,366556074,fashion & apparel
usnikefootball,216428958,fashion & apparel
nikebaseball,2568684,fashion & apparel
nikegolf,53081418,fashion & apparel
xbox,365842972,technology
landroverusa,187862194,auto
landrover,380046043,auto
uniqlo_uk,35856947,fashion & apparel
basf_global,2079407398,technology
emirates,633812768,airline
cartier,479089799,fashion & apparel
aetv,43242550,entertainment
delta,25011809,airline
peugeot,259764292,auto
purina,224714215,CPG
purinacatchow,525585016,CPG
purinaonedog,260992204,CPG
proplan,889163400,CPG
purinadogchow,249158337,CPG
purinaproclub,908462818,CPG
playstation,9766379,technology
nordstromrack,46939780,fashion & apparel
nordstrommen,269197373,fashion & apparel
krogerco,1372092025,retailer
bbcradio1,3810502,entertainment
bbcnews,16278726,entertainment
bbcsport,349617059,entertainment
bbcamerica,1639724,entertainment
bbc1xtra,350633183,entertainment
heinzketchup_us,713864832,CPG
cadillac,186665381,auto
cadburyuk,2045965,CPG
allstate,13401947,financial services
bridgestonetires,1501178621,auto
bridgestonegolf,7547919,auto
johnniewalker,181692521,alcohol
sherwinwilliams,271289096,retailer
aeropostale,42583155,fashion & apparel
rolexgram,1215224587,fashion & apparel
fcbayern,378496191,sports
chelseafc,244309106,sports
fcporto,1005748973,sports
mcfcofficial,5880761,sports
nycfc,417519217,sports
fcbfrauen,375462603,sports
fcb_basketball,322354302,sports
s04,456497772,sports
southhamptonfc,962967320,sports
fcbasel1893_offiziell,490103681,sports
cartolafc,1229733351,sports
fcfseleccioncol,329025167,sports
michaelkors,1906837,fashion & apparel
pantene,459676149,health & beauty
mgmgrand,564325851,hospitality
mandalaybay,232246876,hospitality
excaliburvegas,10580788,hospitality
arialv,204997163,hospitality
luxorlv,18515890,hospitality
palmscasinoresort,56180751,hospitality
kiamotorsusa,53390935,auto
nescafemex,20215545,CPG
budlight,1062325322,alcohol
dunkindonuts,26000969,QSR
pizzahut,1906037,QSR
kfc,331263521,QSR
sonicdrivein,198859578,QSR
mcdonalds,18343150,QSR
burgerking,264339926,QSR
tacobell,29009227,QSR
wendys,20703145,QSR
united,238426677,airline
americanair,6072246,airline
southwestair,1699752,airline
jetblue,11225105,airline
alaskaair,2317246,airline
virginamerica,18340692,airline
